Clave UT,Nombre Completo del COPACO
10-001,Gustavo Lopez Belmar
10-001,Miriam Valencia Gómez
10-001,Miriam Valencia Gómez
10-001,Rocio Hernandez Lopez
10-002,Eugenia Elpidia Romero Morales
10-002,Francisco Arriaga Franco
10-002,Francisco Arriaga Franco
10-002,Juan Flores Méndez
10-002,Laurybeth Ortega Olvera
10-002,Yazmin Socorro Castañeda Sillas
10-008,Mary Carmen Acosta López
10-008,Rosa María Trinidad Sánchez Quintana
10-008,Veronica Armenta Hernández
10-009,Claudia Erika Tapia Lima
10-009,Dana Lorena Sanchez Bernal
10-009,Héctor Aguirre Muñoz
10-009,Maria Teresita Del Niño Jesus Garcia Mendez
10-009,Miguel Ángel Cortés Pérez
10-009,Nohemi Zamora Coronado
10-009,Patricia Ayala Vilchis
10-009,Paulina Mandujano Gonzalez
10-009,Víctor Manuel Sanchez Mendoza
10-019,Carolina Mejía González
10-019,Carolina Mejía González
10-019,Cynthia Sofía Blas Rodríguez
10-030,Maria Elena Herrera Alvarez
10-030,Maria Elena Herrera Alvarez
10-030,Maria Elena Herrera Alvarez
10-031,Antonio Panigua Martínez
10-031,Ariana Guadalupe Vazquez Alvarez
10-031,César Mendoza Hernández
10-031,Cristina Alicia Alvarez Medina
10-031,Gilberto Olvera Villagran
10-031,Maria Cristina Castillo Morales
10-031,Sabina Dorantes Mendoza
10-031,Teodororo Alfredo Garcia Miranda
10-031,Virginia Espinosa Alba
10-040,Guadalupe Jazmín Pool Sánchez
10-040,Josefina Rosas Vega
10-040,Leonardo Sanchez Jimenez
10-040,Maria Del Carmen Alvarado Mendoza
10-040,Sergio Daniel Berlanga Jimenez
10-040,Sergio Daniel Berlanga Jimenez
10-040,Severo Lázaro Tlachi Sánchez
10-049,Elizabeth Velazquez Velez
10-049,Gerardo Estrada Cuéllar
10-049,Laura Aurora Estrada Cuéllar
10-049,Maria Belem Sixto Miramar
10-049,María Del Socorro Díaz De León Castrejón
10-049,Maria Teresa De Jesús Romero Guzmán
10-049,Rosaura Mónica Mendoza Torres
10-050,Anylu Guadalupe Reyes Galindo
10-050,Bryan Raul Ramos Reyes
10-050,Diana Laura Guerra Barrera
10-050,Isis Guadalupe Soto Juárez
10-050,Juan Carlos Castro Garcia
10-050,María De Los Angeles Román Guerra
10-056,Elizabeth Lara Salgado
10-056,Elizabeth Zamora Zamora
10-056,Gabriela De Alba Flores
10-056,Karen Lizbeth Robles Hurtado
10-056,Luis Eduardo Lara Salgado
10-056,María Rebeca Salgado Hernández
10-056,Miguel Lara Labastida
10-056,Rosa Maria Xx Hurtado
10-057,Crescenciano Cisneros Obregón
10-057,Irma Guadalupe Martínez De La O
10-057,Mia Guadalupe Garcia Aguilar
10-057,Victor Eduardo Carreño Salinas
10-058,Adriana Ramirez Rios
10-058,Braulio Guadalupe Granados Cruz
10-058,Dioscelina Avalos Sanchez
10-058,Jorge Orendain Diaz
10-058,Miguel Angel Guerrero Morales
10-058,Porfiria Josefina Morales Ramos
10-058,Violeta Cruz Acosta
10-059,Elizabeth Sánchez Martínez
10-059,Elizabeth Sánchez Martínez
10-059,Nayeli Mata Sanchez
10-059,Osvaldo Sanchez García
10-060,Andrea Elizabeth Villegas Ramírez
10-060,Bernarda Pérez Martínez
10-060,Bernarda Pérez Martínez
10-060,Roberto Pérez Martínez
10-070,Consuelo Hernández Reyes
10-070,Consuelo Hernández Reyes
10-070,Dulce Karen Salgado Diaz
10-070,Ernesto Garcia Escamilla
10-071,Aurora Catalina Puentes Zermeno
10-071,Clara Bahena Carlón
10-071,Claudia Josefina Alvarado Torres
10-071,Edgar Carbajal González
10-071,Mario Avilés Orozco
10-071,Oscar Alejandro Ruvalcaba Orozco
10-071,Pablo Arturo Vega Ramos
10-074,Angel Gutierrez Olvera
10-074,Cinthya Janette Manzano Aguilar
10-074,Clara Gabriela Sosa Gomora
10-074,María Del Rosario Durán Martínez
10-074,Maria Gabriela Estrada Islas
10-074,Nataly Marisol De Agustin Duran
10-074,Rebeca Zarate Cid
10-074,Salvador Morales Oviedo
10-074,Saul Alejandro Contreras Zamorano
10-087,Ana Maria Reyes Martinez
10-087,Berenice Bernardino Valentin
10-087,Ivonne Aguilar Rivera
10-087,Maricruz Gonzales Lopez
10-087,Sara Alcántara De Jesús
10-092,Adriana Hernandez Rivera
10-092,Lorena Xx Martinez
10-092,María De Jesús Hernández Abaunza
10-092,Rebeca Cuevas Garcia
10-092,Yolanda Gonzalez Valdes
10-100,Eusebio Manuel Campos Rojas
10-100,Jesus Enrique Aguilar Martínez
10-100,Maria Cristina Millan Hernandez
10-100,María De Lourdes Sebastián Barrón
10-103,Dulce María Romero Ortega
10-103,Edith Saldivar Barradas
10-103,Erika Tellitud Rivera
10-103,Juan Carlos López López
10-103,Katherine Aylin Garcia Tellitud
10-103,Mario Genesta Ventura
10-119,Alejandra Ariana Rivera Galindo
10-125,Elvia Irma Verdeja Gonzalez
10-125,Jaime Francisco Vargas Chavez
10-125,Josefina Alvarado Hinojoza
10-125,Rodolfo Olguin Cruz
10-126,Jessica Natalia Cardoso Flores
10-126,Jorge Castañeda Lunar
10-126,Luis Antonio Sanchez Flores
10-126,María Esther Flores Torres
10-126,María Soledad Reyes Rugerio
10-126,Martina Manjarrez Sugaide
10-126,Norma Yaquelin Pérez García
10-126,Rocio Ruelas Gutiérrez
10-141,Carolina García Sandoval
10-141,Claudia Rocio Flores Espinosa
10-141,Elvira Castilleja Martínez
10-141,Genoveva Araceli Prado Serrano
10-141,Maribel Ramírez Peña
10-142,Lorenzo Santiago Pérez
10-142,Margarita Hernández Morales
10-142,Margarita Hernández Morales
10-156,Elvia Rodriguez Otero
10-156,Marco Livio Méndez Solano
10-156,Maria Valencia Espinal
10-156,María Camerina Álvarez Ávila
10-156,Maribel Chapul Hernández
10-156,Martha Angelica Sánchez García
10-156,Paulina Desiree Valdez Huerta
10-156,Raquel Chavira Almaraz
10-156,Raúl García Alfaro
10-157,Ana Georgina Castañeda Olivo
10-157,Ana Laura López Parra
10-157,Claudia Carolina Parra Bravo
10-157,Heriberto López Maya
10-157,María Teresa Noyola Sánchez
10-157,Paulina Najera Monroy
10-157,Ricardo Mondragon Trujillo
10-159,Catherine Judith Mondragon Planas
10-159,Claudia Gabriela Arellano Moran
10-159,Enrique Rojas Alvarez
10-159,Gloria Martinez Garcia
10-159,Judith Teresa Planas Cuellar
10-159,Luis Manuel Medina Medina
10-159,Rogelio Ramon Garcia
10-159,Tania Gomez Salgado
10-159,Yolanda Mejia Hernandez
10-160,Berenice Imelda Angeles Rodríguez
10-160,Carmen Eugenia Martinez Morales
10-160,Ivan Verdejo Reynero
10-160,Juan Verdejo Ramírez
10-160,Luis Ronaldo Rodríguez Huertaa
10-160,Maria Isabel Martinez Olvera
10-160,Raquel Patricia Huerta Mendoza
10-160,Rosa Nancy Ovando Alonso
10-160,Yanira Virginia Silva Chavez
10-161,Carolina Salguero Sanchez
10-161,Israel Aldaco Rodríguez
